rms,mileage,speed,load
4.66,351038.07,89.71,100
4.6,351053.01,89.71,100
4.76,351067.97,89.71,100
4.8,351082.92,89.71,100
4.76,351097.87,89.71,100
5.12,351112.82,89.71,100
5,351127.78,89.71,100
5.02,351142.73,89.71,100
5.08,351157.68,89.71,100
4.99,351172.64,89.71,100
4.98,351187.58,89.71,100
4.89,351202.54,89.71,100
4.99,351217.49,89.71,100
4.95,351232.44,89.71,100
5.16,351247.4,89.71,100
5.12,351262.35,89.71,100
5.27,351277.3,89.71,100
5.35,351292.25,89.71,100
5.56,351307.21,89.71,100
5.68,351322.15,89.71,100
5.53,351337.11,89.71,100
1.87,351343.01,35.39,100
2.08,351348.9,35.39,100
2.13,351354.8,35.39,100
2.24,351360.7,35.39,100
2.43,351366.6,35.39,100
2.48,351372.5,35.39,100
2.49,351378.4,35.39,100
2.68,351384.29,35.39,100
2.73,351390.19,35.39,100
2.75,351396.09,35.39,100
2.92,351401.99,35.39,100
2.77,351407.89,35.39,100
2.74,351413.78,35.39,100
2.76,351419.68,35.39,100
2.81,351425.58,35.39,100
2.87,351431.48,35.39,100
2.85,351437.37,35.39,100
2.97,351443.27,35.39,100
2.89,351449.17,35.39,100
2.74,351455.07,35.39,100
2.67,351460.97,35.39,100
2.99,351466.87,35.39,100
2.83,351472.76,35.39,100
2.71,351478.66,35.39,100
2.89,351484.56,35.39,100
2.76,351490.46,35.39,100
3.01,351496.36,35.39,100
3.1,351502.25,35.39,100
2.71,351508.15,35.39,100
2.67,351514.05,35.39,100
2.76,351519.95,35.39,100
2.79,351525.84,35.39,100
2.67,351531.74,35.39,100
2.87,351537.64,35.39,100
2.67,351543.54,35.39,100
2.86,351549.44,35.39,100
2.92,351555.34,35.39,100
2.81,351561.23,35.39,100
2.69,351567.13,35.39,100
2.82,351573.03,35.39,100
2.78,351578.93,35.39,100
2.75,351584.82,35.39,100
2.84,351590.72,35.39,100
2.76,351596.62,35.39,100
2.95,351602.52,35.39,100
2.75,351608.42,35.39,100
2.95,351614.31,35.39,100
2.82,351620.21,35.39,100
2.64,351626.11,35.39,100
2.91,351632.01,35.39,100
2.79,351637.91,35.39,100
2.69,351643.81,35.39,100
2.83,351649.7,35.39,100
2.83,351655.6,35.39,100
2.96,351661.5,35.39,100
2.87,351667.4,35.39,100
2.84,351673.29,35.39,100
2.67,351679.19,35.39,100
2.81,351685.09,35.39,100
2.79,351690.99,35.39,100
2.79,351696.89,35.39,100
2.79,351702.78,35.39,100
2.77,351708.68,35.39,100
2.82,351714.58,35.39,100
3,351720.48,35.39,100
2.89,351726.38,35.39,100
2.72,351732.28,35.39,100
2.92,351738.17,35.39,100
2.78,351744.07,35.39,100
2.86,351749.97,35.39,100
2.94,351755.86,35.39,100
2.91,351761.76,35.39,100
2.75,351767.66,35.39,100
2.75,351773.56,35.39,100
2.84,351779.46,35.39,100
2.74,351785.36,35.39,100
2.62,351791.25,35.39,100
2.75,351797.15,35.39,100
2.81,351803.05,35.39,100
2.83,351808.95,35.39,100
2.78,351814.85,35.39,100
2.69,351820.74,35.39,100
2.88,351826.64,35.39,100
2.8,351832.54,35.39,100
2.64,351838.44,35.39,100
2.97,351844.33,35.39,100
2.9,351850.23,35.39,100
2.62,351856.13,35.39,100
2.76,351862.03,35.39,100
2.68,351867.93,35.39,100
2.92,351873.83,35.39,100
2.56,351879.72,35.39,100
2.73,351885.62,35.39,100
2.03,351891.52,35.39,100
1.99,351897.42,35.39,100
2.04,351903.32,35.39,100
2.09,351909.21,35.39,100
2.38,351915.11,35.39,100
4.3,351926.2,66.51,110
4.59,351937.28,66.51,110
5.01,351948.36,66.51,110
4.91,351959.45,66.51,110
5.04,351970.53,66.51,110
4.87,351981.62,66.51,110
5.27,351992.7,66.51,110
5.21,352003.78,66.51,110
5.26,352014.87,66.51,110
5.37,352025.96,66.51,110
5.78,352037.04,66.51,110
5.32,352048.12,66.51,110
5.48,352059.21,66.51,110
5.24,352070.29,66.51,110
5.12,352081.38,66.51,110
5.52,352092.46,66.51,110
5.25,352103.54,66.51,110
4.99,352114.63,66.51,110
5.06,352125.72,66.51,110
5.23,352136.8,66.51,110
4.89,352147.88,66.51,110
5.37,352158.97,66.51,110
4.94,352170.05,66.51,110
5.01,352181.14,66.51,110
5.28,352192.22,66.51,110
5.6,352203.31,66.51,110
5.02,352214.39,66.51,110
5.08,352225.48,66.51,110
4.88,352236.56,66.51,110
5.08,352247.65,66.51,110
5.27,352258.73,66.51,110
4.8,352269.81,66.51,110
5.04,352280.9,66.51,110
5.07,352291.99,66.51,110
4.75,352303.07,66.51,110
4.74,352314.15,66.51,110
5.04,352325.24,66.51,110
5.11,352336.32,66.51,110
5.01,352347.41,66.51,110
5.15,352358.49,66.51,110
5.06,352369.57,66.51,110
4.93,352380.66,66.51,110
4.94,352391.75,66.51,110
4.96,352402.83,66.51,110
4.67,352413.91,66.51,110
4.71,352425,66.51,110
4.88,352436.08,66.51,110
5.13,352447.17,66.51,110
4.93,352458.25,66.51,110
4.85,352469.33,66.51,110
4.9,352480.42,66.51,110
4.84,352491.51,66.51,110
4.81,352502.59,66.51,110
5.04,352513.67,66.51,110
4.75,352524.76,66.51,110
4.85,352535.84,66.51,110
5.06,352546.93,66.51,110
4.94,352558.01,66.51,110
4.89,352569.09,66.51,110
4.72,352580.18,66.51,110
4.64,352591.27,66.51,110
5.05,352602.35,66.51,110
4.87,352613.43,66.51,110
5.13,352624.52,66.51,110
4.88,352635.6,66.51,110
4.78,352646.69,66.51,110
4.76,352657.77,66.51,110
5.18,352668.85,66.51,110
5.02,352679.94,66.51,110
4.86,352691.03,66.51,110
4.58,352702.11,66.51,110
4.83,352713.19,66.51,110
4.82,352724.28,66.51,110
4.78,352735.36,66.51,110
5.32,352746.45,66.51,110
4.99,352757.53,66.51,110
4.97,352768.61,66.51,110
5.02,352779.7,66.51,110
4.88,352790.79,66.51,110
4.96,352801.87,66.51,110
4.86,352812.96,66.51,110
5.24,352824.04,66.51,110
5.09,352835.12,66.51,110
4.81,352846.21,66.51,110
4.78,352857.3,66.51,110
4.8,352868.38,66.51,110
4.71,352879.46,66.51,110
4.69,352890.55,66.51,110
5.13,352901.63,66.51,110
5.07,352912.72,66.51,110
4.86,352923.8,66.51,110
4.67,352934.88,66.51,110
5.01,352945.97,66.51,110
4.91,352957.06,66.51,110
5.1,352968.14,66.51,110
5.13,352979.22,66.51,110
4.72,352990.31,66.51,110
4.72,353001.39,66.51,110
4.66,353012.48,66.51,110
4.73,353023.56,66.51,110
5,353034.64,66.51,110
4.88,353045.73,66.51,110
4.98,353056.82,66.51,110
4.84,353067.9,66.51,110
5,353078.98,66.51,110
4.96,353090.07,66.51,110
5.02,353101.15,66.51,110
4.83,353112.24,66.51,110
4.81,353123.32,66.51,110
4.92,353134.4,66.51,110
4.75,353145.49,66.51,110
4.79,353156.58,66.51,110
4.64,353167.66,66.51,110
4.67,353178.74,66.51,110
4.87,353189.83,66.51,110
4.9,353200.91,66.51,110
5.08,353212,66.51,110
4.99,353223.08,66.51,110
5.12,353234.16,66.51,110
4.91,353245.25,66.51,110
5.18,353256.34,66.51,110
4.85,353267.42,66.51,110
4.69,353278.5,66.51,110
4.7,353289.59,66.51,110
4.92,353300.67,66.51,110
5.04,353311.76,66.51,110
4.95,353322.84,66.51,110
5.07,353333.92,66.51,110
4.06,353345.01,66.51,110
3.9,353356.1,66.51,110
3.98,353367.18,66.51,110
4.02,353378.26,66.51,110
4.11,353389.35,66.51,110
4.11,353400.43,66.51,110
4.28,353411.52,66.51,110
4.17,353422.61,66.51,110
4.32,353433.69,66.51,110
4.43,353444.77,66.51,110
4.33,353455.86,66.51,110
4.42,353466.94,66.51,110
4.33,353478.03,66.51,110
4.43,353489.11,66.51,110
4.32,353500.19,66.51,110
4.54,353511.28,66.51,110
4.41,353522.37,66.51,110
4.34,353533.45,66.51,110
4.42,353544.53,66.51,110
4.36,353555.62,66.51,110
4.42,353566.7,66.51,110
4.48,353577.79,66.51,110
4.37,353588.87,66.51,110
4.48,353599.95,66.51,110
4.41,353611.04,66.51,110
4.47,353622.13,66.51,110
4.43,353633.21,66.51,110
4.38,353644.29,66.51,110
4.46,353655.38,66.51,110
4.45,353666.46,66.51,110
4.32,353677.55,66.51,110
4.35,353688.63,66.51,110
4.37,353699.71,66.51,110
4.52,353710.8,66.51,110
4.47,353721.89,66.51,110
4.36,353732.97,66.51,110
4.39,353744.05,66.51,110
4.39,353755.14,66.51,110
4.5,353766.22,66.51,110
4.32,353777.31,66.51,110
4.5,353788.39,66.51,110
4.35,353799.47,66.51,110
4.48,353810.56,66.51,110
4.44,353821.65,66.51,110
4.54,353832.73,66.51,110
4.53,353843.81,66.51,110
4.46,353854.9,66.51,110
4.5,353865.98,66.51,110
4.51,353877.07,66.51,110
4.35,353888.15,66.51,110
4.46,353899.23,66.51,110
4.45,353910.32,66.51,110
4.45,353921.41,66.51,110
4.46,353932.49,66.51,110
4.48,353943.57,66.51,110
4.41,353954.66,66.51,110
4.38,353965.74,66.51,110
4.42,353976.83,66.51,110
4.28,353987.92,66.51,110
4.34,353999,66.51,110
4.44,354010.08,66.51,110
4.48,354021.17,66.51,110
4.48,354032.25,66.51,110
4.52,354043.34,66.51,110
4.44,354054.42,66.51,110
4.35,354065.5,66.51,110
4.44,354076.59,66.51,110
4.43,354087.68,66.51,110
4.47,354098.76,66.51,110
4.44,354109.84,66.51,110
4.45,354120.93,66.51,110
4.52,354132.01,66.51,110
4.52,354143.1,66.51,110
4.31,354154.18,66.51,110
4.32,354165.26,66.51,110
4.31,354176.35,66.51,110
4.5,354187.44,66.51,110
4.39,354198.52,66.51,110
4.41,354209.6,66.51,110
4.43,354220.69,66.51,110
4.49,354231.77,66.51,110
4.53,354242.86,66.51,110
4.44,354253.94,66.51,110
4.38,354265.02,66.51,110
4.38,354276.11,66.51,110
7.36,354290.33,85.28,110
7.41,354304.53,85.28,110
7.69,354318.75,85.28,110
7.4,354332.96,85.28,110
7.31,354347.17,85.28,110
7.28,354361.39,85.28,110
7.8,354375.6,85.28,110
7.47,354389.81,85.28,110
7.66,354404.02,85.28,110
7.37,354418.24,85.28,110
7.14,354432.45,85.28,110
7.23,354446.66,85.28,110
7.27,354460.88,85.28,110
7.32,354475.09,85.28,110
7.75,354489.3,85.28,110
7.5,354503.52,85.28,110
7.99,354517.72,85.28,110
8.02,354531.94,85.28,110
7.49,354546.15,85.28,110
7.67,354560.36,85.28,110
7.69,354574.58,85.28,110
7.43,354588.79,85.28,110
8.39,354603,85.28,110
8.13,354617.22,85.28,110
7.74,354631.43,85.28,110
7.17,354645.64,85.28,110
8.08,354659.85,85.28,110
7.75,354674.07,85.28,110
7.4,354688.28,85.28,110
7.82,354702.49,85.28,110
7.82,354716.71,85.28,110
7.68,354730.91,85.28,110
7.7,354745.13,85.28,110
7.58,354759.35,85.28,110
7.75,354773.55,85.28,110
8.04,354787.77,85.28,110
7.33,354801.98,85.28,110
7.34,354816.19,85.28,110
8.43,354830.41,85.28,110
7.33,354844.62,85.28,110
8.25,354858.83,85.28,110
7.73,354873.04,85.28,110
8.15,354887.26,85.28,110
7.77,354901.47,85.28,110
8.02,354915.68,85.28,110
7.67,354929.9,85.28,110
7.59,354944.11,85.28,110
8.01,354958.32,85.28,110
7.74,354972.54,85.28,110
7.77,354986.74,85.28,110
7.81,355000.96,85.28,110
7.54,355015.17,85.28,110
7.9,355029.38,85.28,110
8.23,355043.6,85.28,110
8.44,355057.81,85.28,110
7.45,355072.02,85.28,110
7.58,355086.24,85.28,110
8.7,355100.45,85.28,110
8.1,355114.66,85.28,110
8.08,355128.87,85.28,110
8.01,355143.09,85.28,110
7.91,355157.3,85.28,110
8.07,355171.51,85.28,110
8.08,355185.73,85.28,110
7.83,355199.93,85.28,110
8.16,355214.15,85.28,110
7.75,355228.37,85.28,110
7.81,355242.57,85.28,110
8.56,355256.79,85.28,110
7.77,355271,85.28,110
8.16,355285.21,85.28,110
7.99,355299.43,85.28,110
8.08,355313.64,85.28,110
8.07,355327.85,85.28,110
8.37,355342.06,85.28,110
8.17,355356.28,85.28,110
7.94,355370.49,85.28,110
7.51,355384.7,85.28,110
7.58,355398.92,85.28,110
8.04,355413.12,85.28,110
8.22,355427.34,85.28,110
7.87,355441.56,85.28,110
7.96,355455.76,85.28,110
8.24,355469.98,85.28,110
8.03,355484.19,85.28,110
7.49,355498.4,85.28,110
8.28,355512.62,85.28,110
7.97,355526.83,85.28,110
8.07,355541.04,85.28,110
7.75,355555.25,85.28,110
8.1,355569.47,85.28,110
8.08,355583.68,85.28,110
8.2,355597.89,85.28,110
8.23,355612.11,85.28,110
8.09,355626.32,85.28,110
8.37,355640.53,85.28,110
8.53,355654.75,85.28,110
8.71,355668.95,85.28,110
7.66,355683.17,85.28,110
8.61,355697.39,85.28,110
8.37,355711.59,85.28,110
7.86,355725.81,85.28,110
7.82,355740.02,85.28,110
7.9,355754.23,85.28,110
8.04,355768.45,85.28,110
8.83,355782.66,85.28,110
7.53,355796.87,85.28,110
7.69,355811.08,85.28,110
7.93,355825.3,85.28,110
8.48,355839.51,85.28,110
8.92,355853.72,85.28,110
8.16,355867.94,85.28,110
8.72,355882.14,85.28,110
8.23,355896.36,85.28,110
7.89,355910.58,85.28,110
8.39,355924.78,85.28,110
8.8,355939,85.28,110
